date,level_0,level_1,level_2,vote yes,vote no,chainlink,scalar,normalized_yes,normalized_no,yes_rolling,no_rolling,odds,odds_rolling
2017-09-23,2017,9,23,1321,544,1963,24,5507842.491184653,2262382.7131246147,4706808.770525154,2033267.7045713193,0.7088394925966977,0.4382768463101157
2017-09-24,2017,9,24,661,325,1991,24,2472195.01017458,1233396.3772237739,2831879.991251809,1521547.8294022554,0.6671526220030091,0.4910832511445464
2017-09-25,2017,9,25,494,310,1933,24,1296450.4309804016,943670.8075657978,1735237.6012988435,943670.8075658041,0.5787411898392499,0.5206544891993306
2017-09-26,2017,9,26,561,415,1444,24,865172.3100728781,719125.558029343,973726.3414807545,778937.2147696923,0.5460919486745506,0.5478357304545778
2017-09-27,2017,9,27,328,308,1199,24,308586.43409445893,393425.2775957098,308586.43409445765,393425.2775957161,0.43957448138793,0.5515384860154191
2017-09-28,2017,9,28,434,641,881,24,417330.50910043035,547276.9598953833,417330.509100429,547276.9598953894,0.4326428340171203,0.5461344824538269
2017-09-29,2017,9,29,0,25,729,24,0.0,56693.1532383516,0.0,56693.153238357656,0.0,0.4818632240740798
2017-09-30,2017,9,30,223,65,928,24,179813.97002789172,52012.933773218785,179813.97002789073,52012.93377322486,0.7756389231776055,0.49140599987135225
2017-10-01,2017,10,1,499,510,1458,24,371670.6432941263,380579.3057621237,371670.6432941253,380579.3057621298,0.4940786553198349,0.4666811474880417
2017-10-02,2017,10,2,0,55,941,23,0.0,40138.27018804829,0.0,40138.270188054106,0.0,0.3840038346538631
