date,chainlink,isPartial,no_rolling,normalized_no,normalized_yes,scalar,vote no,vote yes,yes_rolling
2017-08-05 19:00:00,31,False,737.491312865334,0.0,0.0,1,0,0,553.2632079702108
2017-08-05 20:00:00,34,False,625.8425532279209,0.0,0.0,1,0,0,441.61444833279774
2017-08-05 21:00:00,32,False,794.5940487278116,2025.0179459986875,0.0,1,21,0,441.61444833279774
2017-08-05 22:00:00,35,False,794.5940487278116,1339.7851156489567,0.0,1,1,0,441.61444833279774
2017-08-05 23:00:00,32,False,1035.6676137276554,2892.8827799981254,0.0,1,30,0,441.61444833279774
2017-08-06 00:00:00,35,False,802.6298342278064,0.0,0.0,1,0,0,441.61444833279774
2017-08-06 01:00:00,32,False,883.0841676369132,2410.7356499984376,1542.8708159990001,1,25,16,570.1870163327144
2017-08-06 02:00:00,31,False,789.4676820716539,805.1906932156376,0.0,1,9,0,570.1870163327144
2017-08-06 03:00:00,32,False,853.7539660716124,771.4354079995001,0.0,1,8,0,570.1870163327144
2017-08-06 04:00:00,35,False,965.4027257090253,1339.7851156489567,1339.7851156489567,1,1,1,240.22132763732975
2017-08-06 05:00:00,34,False,1077.0514853464383,1339.7851156489567,2679.5702312979133,1,1,2,463.5188469121558
2017-08-06 06:00:00,33,False,1077.0514853464383,0.0,0.0,1,0,0,463.5188469121558
2017-08-06 07:00:00,35,False,1188.7002449838512,1339.7851156489567,1339.7851156489567,1,1,1,575.1676065495689
2017-08-06 08:00:00,35,False,1411.9977642586773,2679.5702312979133,1339.7851156489567,1,2,1,686.816366186982
2017-08-06 09:00:00,32,False,1403.9619787586826,1928.5885199987501,675.0059819995626,1,20,7,743.0668646869455
2017-08-06 10:00:00,34,False,1515.6107383960955,2679.5702312979133,0.0,1,2,0,743.0668646869455
2017-08-06 11:00:00,35,False,1386.1859330336647,1339.7851156489567,0.0,1,1,0,743.0668646869455
2017-08-06 12:00:00,32,False,1458.5080025336176,867.8648339994376,0.0,1,9,0,743.0668646869455
2017-08-06 13:00:00,33,False,1257.6133650337479,0.0,0.0,1,0,0,614.4942966870289
2017-08-06 14:00:00,33,False,1391.247980750383,2408.8060818152603,2408.8060818152603,1,5,5,815.2281368383005
2017-08-06 15:00:00,35,False,1661.9079756626636,4019.3553469468698,0.0,1,3,0,815.2281368383005
2017-08-06 16:00:00,32,False,1550.2592160252507,0.0,0.0,1,0,0,703.5793772008875
2017-08-06 17:00:00,34,False,1438.6104563878378,0.0,0.0,1,0,0,480.2818579260614
2017-08-06 18:00:00,35,False,2220.151773849729,9378.495809542697,0.0,1,7,0,480.2818579260614
2017-08-06 19:00:00,34,False,2108.503014212316,0.0,0.0,1,0,0,368.63309828864834
2017-08-06 20:00:00,34,False,2108.503014212316,2679.5702312979133,0.0,1,2,0,256.98433865123525
2017-08-06 21:00:00,33,False,2349.254984514964,4817.612163630521,0.0,1,10,0,200.7338401512717
2017-08-06 22:00:00,34,False,2237.6062248775506,1339.7851156489567,0.0,1,1,0,200.7338401512717
2017-08-06 23:00:00,36,False,2237.6062248775506,1339.7851156489567,0.0,1,1,0,200.7338401512717
2017-08-07 00:00:00,37,False,2388.5816746524238,2679.5702312979133,0.0,1,2,0,200.7338401512717
2017-08-07 01:00:00,35,False,2500.2304342898365,1339.7851156489567,0.0,1,1,0,200.7338401512717
2017-08-07 02:00:00,34,False,2522.794113413391,2679.5702312979133,0.0,1,2,0,0.0
2017-08-07 03:00:00,37,False,2522.794113413391,4019.3553469468698,0.0,1,3,0,0.0
2017-08-07 04:00:00,35,False,2857.74039232563,4019.3553469468698,2679.5702312979133,1,3,2,223.2975192748261
2017-08-07 05:00:00,33,False,3058.4742324769018,2408.8060818152603,481.76121636305203,1,5,1,263.4442873050804
2017-08-07 06:00:00,37,False,2500.2304342898365,2679.5702312979133,1339.7851156489567,1,2,1,375.09304694249346
2017-08-07 07:00:00,37,False,3058.4742324769018,6698.9255782447835,0.0,1,5,0,375.09304694249346
2017-08-07 08:00:00,36,False,3281.771751751728,5359.140462595827,1339.7851156489567,1,4,1,486.74180657990655
2017-08-07 09:00:00,36,False,3326.8991099988366,5359.140462595827,0.0,1,4,0,486.74180657990655
2017-08-07 10:00:00,35,False,3550.196629273663,4019.3553469468698,2679.5702312979133,1,3,2,710.0393258547327
2017-08-07 11:00:00,36,False,3773.4941485484887,4019.3553469468698,0.0,1,3,0,710.0393258547327
2017-08-07 12:00:00,33,False,4072.104613666969,6262.8958127196765,963.5224327261041,1,13,2,790.3328619152413
2017-08-07 13:00:00,33,False,4402.070302362354,5299.373379993573,1445.2836490891561,1,11,3,910.7731660060044
2017-08-07 14:00:00,35,False,4737.016581274594,6698.9255782447835,2679.5702312979133,1,5,2,1134.0706852808305
2017-08-07 15:00:00,36,False,6523.396735473202,25455.917197330178,0.0,1,19,0,1134.0706852808305
2017-08-07 16:00:00,33,False,6188.450456560963,0.0,0.0,1,0,0,910.7731660060044
2017-08-07 17:00:00,34,False,5987.716616409692,0.0,0.0,1,0,0,870.62639797575
2017-08-07 18:00:00,34,False,5764.419097134865,0.0,0.0,1,0,0,758.977638338337
2017-08-07 19:00:00,33,False,5687.936515310852,5781.134596356625,0.0,1,12,0,758.977638338337
2017-08-07 20:00:00,37,False,6134.531553860504,10718.280925191653,0.0,1,8,0,647.328878700924
2017-08-07 21:00:00,34,False,6022.882794223092,4019.3553469468698,0.0,1,3,0,647.328878700924
2017-08-07 22:00:00,33,False,6129.55096364365,5299.373379993573,0.0,1,11,0,424.0313594260979
2017-08-07 23:00:00,34,False,6017.902204006236,2679.5702312979133,0.0,1,2,0,424.0313594260979
2017-08-08 00:00:00,37,False,6054.238017799995,6698.9255782447835,0.0,1,5,0,343.73782336558924
2017-08-08 01:00:00,38,False,6059.218608016849,5359.140462595827,1339.7851156489567,1,4,1,334.9462789122393
2017-08-08 02:00:00,37,False,6170.867367654261,8038.7106938937395,1339.7851156489567,1,6,1,223.29751927482627
2017-08-08 03:00:00,35,False,4719.433492367892,8038.7106938937395,2679.5702312979133,1,6,2,446.5950385496524
2017-08-08 04:00:00,36,False,5277.677290554956,6698.9255782447835,1339.7851156489567,1,5,1,558.2437981870654
2017-08-08 05:00:00,35,False,5612.623569467196,4019.3553469468698,1339.7851156489567,1,3,1,669.8925578244786
